Prop:1{2000:{0,0.23452362977502642,-,0};4000:{0,0.23456137701947757,-,0};6000:{0,0.2362222557753284,-,0};8000:{0,0.23961950777593236,-,0};10000:{0,0.2350520911973426,-,0};1000:{0,0.2300694549297901,-,0};3000:{0,0.23493884946398913,-,0};5000:{0,0.2329382455080779,-,0};7000:{0,0.23433489355277065,-,0};9000:{0,0.2339574211082591,-,0}}
Prop:2{2000:{0,0.0,-,0};4000:{0,0.0,-,0};6000:{0,0.0,-,0};8000:{0,0.0,-,0};10000:{0,0.0,-,0};1000:{0,0.0,-,0};3000:{0,0.0,-,0};5000:{0,0.0,-,0};7000:{0,0.0,-,0};9000:{0,0.0,-,0}}
Prop:3{2000:{0,0.0,-,0};4000:{0,0.0,-,0};6000:{0,0.0,-,0};8000:{0,0.0,-,0};10000:{0,0.0,-,0};1000:{0,0.0,-,0};3000:{0,0.0,-,0};5000:{0,0.0,-,0};7000:{0,0.0,-,0};9000:{0,0.0,-,0}}
Prop:4{2000:{0,0.1266797523780764,-,0};4000:{0,0.12452815944436056,-,0};6000:{0,0.12520760984448134,-,0};8000:{0,0.1283406311339272,-,0};10000:{0,0.12377321455533746,-,0};1000:{0,0.12403744526649554,-,0};3000:{0,0.12645326891136946,-,0};5000:{0,0.1247546429110675,-,0};7000:{0,0.123659972821984,-,0};9000:{0,0.12452815944436056,-,0}}
Prop:5{2000:{0,1.0,-,0};4000:{0,1.0,-,0};6000:{0,1.0,-,0};8000:{0,1.0,-,0};10000:{0,1.0,-,0};1000:{0,1.0,-,0};3000:{0,1.0,-,0};5000:{0,1.0,-,0};7000:{0,1.0,-,0};9000:{0,1.0,-,0}}
Prop:6{2000:{0,0.20625094368111127,-,0};4000:{0,0.20545825154763703,-,0};6000:{0,0.2113468216820172,-,0};8000:{0,0.2045523176808093,-,0};10000:{0,0.20764759172580402,-,0};1000:{0,0.20292918616940964,-,0};3000:{0,0.204967537369772,-,0};5000:{0,0.20904423977049674,-,0};7000:{0,0.21002566812622678,-,0};9000:{0,0.20813830590366902,-,0}}
Prop:7{2000:{0,0.11067492073078665,-,0};4000:{0,0.10950475615280085,-,0};6000:{0,0.10614525139664804,-,0};8000:{0,0.1065982183300619,-,0};10000:{0,0.10890080024158237,-,0};1000:{0,0.10773063566359656,-,0};3000:{0,0.10697569077457346,-,0};5000:{0,0.1065982183300619,-,0};7000:{0,0.1080326136192058,-,0};9000:{0,0.1069379435301223,-,0}}
Prop:8{2000:{0,0.040427298807187075,-,0};4000:{0,0.04001207911822437,-,0};6000:{0,0.039521364940359356,-,0};8000:{0,0.040955760229503244,-,0};10000:{0,0.04125773818511249,-,0};1000:{0,0.04076702400724747,-,0};3000:{0,0.04137097991846595,-,0};5000:{0,0.04114449645175902,-,0};7000:{0,0.04299411142986562,-,0};9000:{0,0.042843122452061,-,0}}
Prop:9{2000:{0,0.01981730333685641,-,0};4000:{0,0.019251094670089085,-,0};6000:{0,0.020383512003623736,-,0};8000:{0,0.02034576475917258,-,0};10000:{0,0.020685489959232976,-,0};1000:{0,0.021402687603804923,-,0};3000:{0,0.019779556092405254,-,0};5000:{0,0.018949116714479842,-,0};7000:{0,0.019553072625698324,-,0};9000:{0,0.020836478937037595,-,0}}
Prop:10{2000:{0,0.033708289294881476,-,0};4000:{0,0.030952740449947155,-,0};6000:{0,0.03374603653933263,-,0};8000:{0,0.0327646081836026,-,0};10000:{0,0.034274497961648796,-,0};1000:{0,0.03197191605012834,-,0};3000:{0,0.031292465650007546,-,0};5000:{0,0.03212290502793296,-,0};7000:{0,0.03246263022799336,-,0};9000:{0,0.031783179827872564,-,0}}
Prop:11{2000:{0,0.0,-,0};4000:{0,0.0,-,0};6000:{0,0.0,-,0};8000:{0,0.0,-,0};10000:{0,0.0,-,0};1000:{0,0.0,-,0};3000:{0,0.0,-,0};5000:{0,0.0,-,0};7000:{0,0.0,-,0};9000:{0,0.0,-,0}}
